frequency_THz,Absoprtion,Parameter_Value,Parameter_g,Parameter_r,Parameter_md,Parameter_a
4.5515,0.14820634,1.75,1,0,0,0
4.556,0.15108824,1.75,1,0,0,0
4.5605,0.1540774,1.75,1,0,0,0
4.565,0.15717871,1.75,1,0,0,0
4.5695,0.16039735,1.75,1,0,0,0
4.574,0.16373877,1.75,1,0,0,0
4.5785,0.16720867,1.75,1,0,0,0
4.583,0.17081296,1.75,1,0,0,0
4.5875,0.17455786,1.75,1,0,0,0
4.592,0.17844989,1.75,1,0,0,0
4.5965,0.18249598,1.75,1,0,0,0
4.601,0.18670343,1.75,1,0,0,0
4.6015625,0.18724109,1.75,1,0,0,0
4.6055,0.19107999,1.75,1,0,0,0
4.61,0.19563384,1.75,1,0,0,0
4.6145,0.2003736,1.75,1,0,0,0
4.619,0.20530837,1.75,1,0,0,0
4.6235,0.21044775,1.75,1,0,0,0
4.628,0.21580185,1.75,1,0,0,0
4.6325,0.2213813,1.75,1,0,0,0
4.637,0.22719731,1.75,1,0,0,0
4.6415,0.23326168,1.75,1,0,0,0
4.646,0.23958682,1.75,1,0,0,0
4.6505,0.24618574,1.75,1,0,0,0
4.655,0.25307214,1.75,1,0,0,0
4.6595,0.26026038,1.75,1,0,0,0
4.664,0.2677655,1.75,1,0,0,0
4.6685,0.27560322,1.75,1,0,0,0
4.671875,0.28170965,1.75,1,0,0,0
4.673,0.28378999,1.75,1,0,0,0
4.6775,0.29234294,1.75,1,0,0,0
4.682,0.3012799,1.75,1,0,0,0
4.6865,0.31061934,1.75,1,0,0,0
4.691,0.3203804,1.75,1,0,0,0
4.6955,0.33058279,1.75,1,0,0,0
4.7,0.34124671,1.75,1,0,0,0
4.7045,0.35239282,1.75,1,0,0,0
4.709,0.36404206,1.75,1,0,0,0
4.7135,0.37621553,1.75,1,0,0,0
4.718,0.38893429,1.75,1,0,0,0
4.7225,0.40221914,1.75,1,0,0,0
4.727,0.4160903,1.75,1,0,0,0
4.7315,0.4305671,1.75,1,0,0,0
4.736,0.44566745,1.75,1,0,0,0
4.7405,0.46140725,1.75,1,0,0,0
4.7421875,0.46747732,1.75,1,0,0,0
4.745,0.47779976,1.75,1,0,0,0
4.7495,0.49485604,1.75,1,0,0,0
4.754,0.51258454,1.75,1,0,0,0
4.7585,0.53098788,1.75,1,0,0,0
4.763,0.55006231,1.75,1,0,0,0
4.7675,0.56979751,1.75,1,0,0,0
4.772,0.59017537,1.75,1,0,0,0
4.7765,0.61116858,1.75,1,0,0,0
4.7773438,0.61517043,1.75,1,0,0,0
4.781,0.63273921,1.75,1,0,0,0
4.7855,0.65483722,1.75,1,0,0,0
4.79,0.67739899,1.75,1,0,0,0
4.7945,0.70034592,1.75,1,0,0,0
4.799,0.72358311,1.75,1,0,0,0
4.8035,0.74699829,1.75,1,0,0,0
4.808,0.77046095,1.75,1,0,0,0
4.8125,0.79382204,1.75,1,0,0,0
4.817,0.81691409,1.75,1,0,0,0
4.8215,0.83955209,1.75,1,0,0,0
4.826,0.86153506,1.75,1,0,0,0
4.8305,0.88264856,1.75,1,0,0,0
4.835,0.90266723,1.75,1,0,0,0
4.8395,0.92136233,1.75,1,0,0,0
4.842875,0.93437789,1.75,1,0,0,0
4.844,0.93850562,1.75,1,0,0,0
4.8485,0.95387079,1.75,1,0,0,0
4.853,0.96724607,1.75,1,0,0,0
4.8575,0.97843883,1.75,1,0,0,0
4.8580625,0.97967583,1.75,1,0,0,0
4.862,0.98728214,1.75,1,0,0,0
4.8665,0.99364083,1.75,1,0,0,0
4.871,0.99741651,1.75,1,0,0,0
4.87325,0.9983162,1.75,1,0,0,0
4.8755,0.9985533,1.75,1,0,0,0
4.88,0.99703575,1.75,1,0,0,0
4.8808438,0.99645713,1.75,1,0,0,0
4.8845,0.99289323,1.75,1,0,0,0
4.8884375,0.98717284,1.75,1,0,0,0
4.889,0.98619987,1.75,1,0,0,0
4.8935,0.97706399,1.75,1,0,0,0
4.898,0.96563325,1.75,1,0,0,0
4.9025,0.95208278,1.75,1,0,0,0
4.903625,0.9483865,1.75,1,0,0,0
4.907,0.93661636,1.75,1,0,0,0
4.9115,0.91944417,1.75,1,0,0,0
4.916,0.90079302,1.75,1,0,0,0
4.9205,0.88089242,1.75,1,0,0,0
4.925,0.859969,1.75,1,0,0,0
4.9295,0.8382422,1.75,1,0,0,0
4.934,0.81592031,1.75,1,0,0,0
4.9385,0.79319732,1.75,1,0,0,0
4.943,0.77025082,1.75,1,0,0,0
4.9475,0.74724069,1.75,1,0,0,0
4.952,0.72430851,1.75,1,0,0,0
4.9565,0.70157762,1.75,1,0,0,0
4.961,0.67915367,1.75,1,0,0,0
4.9655,0.65712551,1.75,1,0,0,0
4.97,0.63556634,1.75,1,0,0,0
4.9745,0.6145351,1.75,1,0,0,0
4.979,0.59407782,1.75,1,0,0,0
4.9835,0.57422909,1.75,1,0,0,0
4.988,0.55501344,1.75,1,0,0,0
4.989125,0.55031048,1.75,1,0,0,0
4.9925,0.53644672,1.75,1,0,0,0
4.997,0.51853731,1.75,1,0,0,0
5.0015,0.50128728,1.75,1,0,0,0
